dr_name,speciality,qualification,years_of_experience,location,city,dp_score%,npv,consultation_fee_₹
Dr. Kim Upadhyay,Dentist,"BDS, MDS - Oral Medicine and Radiology",15 years experience overall,"Sarjapur Road,",Bangalore,96% ,105 Patient Stories,₹400
Dr. Akanksha S.D,Dentist,"BDS, MDS - Oral Medicine and Radiology",13 years experience overall,"Kundalahalli,",Bangalore,97% ,148 Patient Stories,₹300
Dr. Shobith R Shetty,Dentist,"BDS, MDS- Oral Pathology",16 years experience overall,"Indiranagar,",Bangalore,97% ,163 Patient Stories,₹400
Dr. Raghavendra K,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",25 years experience overall,"Rajajinagar,",Bangalore,94% ,30 Patient Stories,₹500
Dr. Shilpa I.G,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS",15 years experience overall,"Singasandra,",Bangalore,99% ,151 Patient Stories,₹300
Dr. Prity Bhagat Lohia,Dentist,"BDS, MDS - Periodontology and Oral Implantology",12 years experience overall,"BTM Layout 1st Stage,",Bangalore,99% ,91 Patient Stories,₹200
Dr. Sarath Chandra,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",14 years experience overall,"Marathahalli,",Bangalore,95% ,84 Patient Stories,₹200
Dr. Raadhikka Karthhik,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",16 years experience overall,"Yelahanka,",Bangalore,95% ,78 Patient Stories,₹300
Dr. Shylesh Shetty,Dentist,"BDS, MDS - Conservative Dentistry ",23 years experience overall,"Indiranagar,",Bangalore,99% ,401 Patient Stories,₹1000
Dr. Shivanand V,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics, MOrth",16 years experience overall,"Hebbal,",Bangalore,99% ,263 Patient Stories,₹250
Dr. Jnanesha H.C,Dentist,"BDS, MDS - Orthodontics",20 years experience overall,"Jayanagar 4 Block,",Bangalore,97% ,79 Patient Stories,₹300
Dr. Sujay Gopal,Dentist,"BDS, Fellowship in Oral implantlogy",15 years experience overall,"Banashankari 3rd Stage,",Bangalore,97% ,127 Patient Stories,₹200
Dr. Sarah Stanislas,Dentist,BDS,9 years experience overall,"Malleswaram,",Bangalore,100% ,22 Patient Stories,₹300
Dr. Karthik Venkataraghavan,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",24 years experience overall,"Domlur,",Bangalore,96% ,150 Patient Stories,₹600
Dr. Vikram Shetty K,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",26 years experience overall,"Jeevanbhimanagar,",Bangalore,100% ,14 Patient Stories,₹500
Dr. Anwar Syed,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",13 years experience overall,"Panathur,",Bangalore,99% ,248 Patient Stories,₹300
Dr. Bobby Thomas,Dentist,BDS,26 years experience overall,"Indiranagar,",Bangalore,98% ,89 Patient Stories,₹500
Dr. Sangeeta Khar,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology",25 years experience overall,"Kasturi nagar,",Bangalore,96% ,42 Patient Stories,₹500
Dr. P Rajesh,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",18 years experience overall,"JP Nagar,",Bangalore,100% ,26 Patient Stories,₹300
Dr. Konthoujam Sulochana,Dentist,BDS,12 years experience overall,"Murugeshpalya,",Bangalore,100% ,98 Patient Stories,₹300
Dr. Deepa Bullappa,Dentist,"BDS, MDS - Public Health Dentistry",13 years experience overall,"Arekere,",Bangalore,98% ,94 Patient Stories,₹200
Dr. Lakshmi Roopesh,Dentist,BDS,18 years experience overall,"HRBR Layout,",Bangalore,98% ,181 Patient Stories,₹500
Dr. Katta R Venkatesh,Dentist,"MDS - Periodontics, BDS",19 years experience overall,"Banashankari 3rd Stage,",Bangalore,97% ,110 Patient Stories,₹300
Dr. Poorvi Shrivastava,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",11 years experience overall,"Marathahalli,",Bangalore,98% ,36 Patient Stories,₹100
Dr. Sandeep Hegde,Dentist,BDS,29 years experience overall,"BTM Layout 2nd Stage,",Bangalore,99% ,199 Patient Stories,₹400
Dr. Anita Mishra,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",12 years experience overall,"Mathikere - BEL,",Bangalore,99% ,158 Patient Stories,₹300
Dr. Deepak Nath,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",31 years experience overall,"JP Nagar,",Bangalore,94% ,64 Patient Stories,₹300
Dr. Suhanya Prasanna Kumar,Dentist,"BDS, MDS - Oral Medicine and Radiology",18 years experience overall,"Electronics City,",Bangalore,100% ,23 Patient Stories,₹300
Dr. Baswaraj Biradar,Dentist,BDS,25 years experience overall,"Sahakaranagar,",Bangalore,99% ,409 Patient Stories,₹400
Dr. Sunil Rao,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",26 years experience overall,"Vijayanagar,",Bangalore,97% ,148 Patient Stories,₹500
Dr. Sanjay N,Dentist,"BDS, MDS - Orthodontics",17 years experience overall,"HBR Layout,",Bangalore,97% ,126 Patient Stories,₹300
Dr. Latha Subramanya,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",30 years experience overall,"JP Nagar 2 Phase,",Bangalore,97% ,54 Patient Stories,₹300
Dr. Adarsha Kannan,Dentist,BDS,27 years experience overall,"Seegehalli,",Bangalore,95% ,55 Patient Stories,₹400
Dr. Bobby Thomas,Dentist,BDS,26 years experience overall,"Indiranagar,",Bangalore,98% ,89 Patient Stories,₹500
Dr. Shobith R Shetty,Dentist,"BDS, MDS- Oral Pathology",16 years experience overall,"Indiranagar,",Bangalore,97% ,163 Patient Stories,₹400
Dr. Srimani,Dentist,BDS,23 years experience overall,Bangalore,Bangalore,96% ,37 Patient Stories,₹200
Dr. Sayali Jadhav,Dentist,BDS,8 years experience overall,"Jayanagar,",Bangalore,100% ,351 Patient Stories,₹300
Dr. Supreeth Manipal,Dentist,"BDS, MDS - Orthodontics",24 years experience overall,"JP Nagar,",Bangalore,98% ,163 Patient Stories,₹350
Dr. Vijayendra R,Dentist,"MDS - Periodontics, BDS",47 years experience overall,"BTM Layout 2nd Stage,",Bangalore,100% ,63 Patient Stories,₹350
Dr. Lakshmi Mohandas,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",15 years experience overall,"Kudlu,",Bangalore,88% ,27 Patient Stories,₹400
Dr. Akanksha Kapoor,Dentist,BDS,8 years experience overall,"KR Puram,",Bangalore,100% ,264 Patient Stories,₹200
Dr. Dinesh,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",14 years experience overall,"Basaveshwaranagar,",Bangalore,96% ,32 Patient Stories,₹300
Dr. Amrith Kiran Shetty,Dentist,BDS,19 years experience overall,"Banaswadi,",Bangalore,96% ,237 Patient Stories,₹500
Dr. Shabbir Ulla Khan,Dentist,"BDS, MD - Acupressure",10 years experience overall,"Jayanagar,",Bangalore,98% ,27 Patient Stories,₹250
Dr. Prabhuraj,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",26 years experience overall,"Rajarajeshwarinagar,",Bangalore,100% ,1 Patient Story,₹300
Dr. Marimallappa T R,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery, FICOI, Fellowship in Aesthetic Medicine (FAM)",18 years experience overall,"Hebbal Kempapura,",Bangalore,96% ,30 Patient Stories,₹600
Dr. Krishna Mohan Rao,Dentist,"BDS, Fellowship in Aesthetic Medicine (FAM)",18 years experience overall,"Horamavu,",Bangalore,96% ,99 Patient Stories,₹600
Dr. Shaik Mussaveer Ahmed,Dentist,BDS,9 years experience overall,"Richmond Town,",Bangalore,100% ,3 Patient Stories,₹400
Dr. Priyanka Mehta,Dentist,MDS - Conservative Dentistry & Endodontics,3 years experience overall,"Electronics City,",Bangalore,100% ,29 Patient Stories,₹350
Dr. Subhashini,Dentist,"BDS, MDS",10 years experience overall,"Electronics City,",Bangalore,93% ,8 Patient Stories,₹400
Dr. Shamaz Mohamed,Dentist,"BDS, MDS - Community Dentistry",19 years experience overall,"Wilson Garden,",Bangalore,99% ,136 Patient Stories,₹500
Dr. Minty Sharma,Dentist,BDS,16 years experience overall,"HSR Layout,",Bangalore,98% ,207 Patient Stories,₹300
Dr. Mahantesh,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",14 years experience overall,"Sarjapur Road,",Bangalore,99% ,574 Patient Stories,₹550
Dr. Dheemanth Ramanath,Dentist,"BDS, MDS - Orthodontics",15 years experience overall,"Kudlu,",Bangalore,93% ,51 Patient Stories,₹200
Dr. Suman Reddy,Dentist,"BDS, MSc - Master of Oral Implantology (MOI), Fellowship and Diplomate in Implantology from ICOI (USA)",19 years experience overall,Bangalore,Bangalore,91% ,216 Patient Stories,₹300
Dr. Pooja Srinivas,Dentist,BDS,11 years experience overall,"Hanumanthnagar,",Bangalore,98% ,39 Patient Stories,₹300
Dr. Neetu Punhani,Dentist,"MDS - Oral Medicine and Radiology, BDS",18 years experience overall,"Kasturi nagar,",Bangalore,88% ,40 Patient Stories,₹300
Dr. Suchitra,Dentist,BDS,23 years experience overall,"West Of Chord Road,",Bangalore,97% ,49 Patient Stories,₹350
Dr. Roli Singh,Dentist,BDS,12 years experience overall,"Akshaya nagar,",Bangalore,100% ,72 Patient Stories,₹350
Dr. Shilpa I.G,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS",15 years experience overall,"Singasandra,",Bangalore,99% ,151 Patient Stories,₹300
Dr. Akshara Potluri,Dentist,BDS,10 years experience overall,"Sarjapur Road,",Bangalore,96% ,64 Patient Stories,₹300
Dr. Vaibhav Nagaraj,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",12 years experience overall,"Sahakaranagar,",Bangalore,,,₹300
Dr. Aparna Narayan,Dentist,BDS,13 years experience overall,"Whitefield,",Bangalore,100% ,45 Patient Stories,₹350
Dr. Suhas Prabhakar,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",13 years experience overall,"Bannerghatta Road,",Bangalore,98% ,18 Patient Stories,₹300
Dr. Silju Mathew,Dentist,"BDS, MDS - Orthodontics",32 years experience overall,"New BEL Road,",Bangalore,100% ,1 Patient Story,₹500
Dr. Anirban Chatterjee,Dentist,"BDS, MDS - Periodontics",29 years experience overall,"BTM Layout 2nd Stage,",Bangalore,80% ,16 Patient Stories,₹300
Dr. Saurabh Gupta,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",13 years experience overall,"Kanakpura Road,",Bangalore,100% ,20 Patient Stories,₹500
Dr. Karishma Mohanani,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",5 years experience overall,"Munnekollal,",Bangalore,100% ,11 Patient Stories,₹300
Dr. Shahul Kamal Asif,Dentist,"BDS, Fellowship in Oral implantlogy",8 years experience overall,"Kalyan Nagar,",Bangalore,100% ,120 Patient Stories,₹300
Dr. Gayathri Chinmayee B,Dentist,"BDS, MDS - Periodontics",10 years experience overall,"Banaswadi,",Bangalore,98% ,43 Patient Stories,₹500
Dr. Srinivas Panchajanya,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",19 years experience overall,"JP Nagar 1 Phase,",Bangalore,99% ,139 Patient Stories,₹400
Dr. Ravi Sinha,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge, MFGDP - Membership of the Faculty of General Dental Practitioners",12 years experience overall,"Koramangala,",Bangalore,100% ,40 Patient Stories,₹400
Dr. Mudit Kedia,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS",13 years experience overall,"BTM Layout,",Bangalore,99% ,150 Patient Stories,₹500
Dr. Aravind Srinivas,Dentist,"BDS, MDS - Orthodontics",22 years experience overall,"Jakkur,",Bangalore,91% ,28 Patient Stories,₹300
Dr. Shambulinga,Dentist,BDS,32 years experience overall,"HSR Layout,",Bangalore,92% ,36 Patient Stories,₹300
Dr. Reetu Singh,Dentist,BDS,14 years experience overall,"Jalahalli,",Bangalore,100% ,24 Patient Stories,₹300
Dr. Latha Subramanya,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",30 years experience overall,"JP Nagar 2 Phase,",Bangalore,97% ,54 Patient Stories,₹300
Dr. Medha Gupta,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",9 years experience overall,"Domlur,",Bangalore,100% ,74 Patient Stories,₹500
Dr. NG Sylvia Kune,Dentist,BDS,6 years experience overall,"HAL 2nd Stage,",Bangalore,96% ,21 Patient Stories,₹500
Dr. Vathsala Naik,Dentist,"BDS, MDS - Oral Medicine and Radiology",39 years experience overall,"Indiranagar,",Bangalore,100% ,31 Patient Stories,₹500
Dr. Kavitha J,Dentist,BDS,26 years experience overall,"Bannerghatta Road,",Bangalore,97% ,22 Patient Stories,₹300
Dr. Akanksha Kapoor,Dentist,BDS,8 years experience overall,"KR Puram,",Bangalore,100% ,264 Patient Stories,₹200
Dr. Lahari,Dentist,"MDS - Public Health Dentistry, BDS",15 years experience overall,"HSR Layout,",Bangalore,100% ,20 Patient Stories,₹500
Dr. Bhavana Patil,Dentist,BDS,14 years experience overall,"Hebbal Kempapura,",Bangalore,97% ,54 Patient Stories,₹500
Dr. Archana Diwan,Dentist,BDS,22 years experience overall,"Horamavu,",Bangalore,99% ,77 Patient Stories,₹400
Dr. Naveen N,Dentist,"BDS, MDS - Community Dentistry",21 years experience overall,"Rajarajeshwarinagar,",Bangalore,97% ,39 Patient Stories,₹300
Dr. P S Lakshmi,Dentist,BDS,27 years experience overall,"Bannerghatta Road,",Bangalore,92% ,617 Patient Stories,₹500
Dr. Kusum Bashetty,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",19 years experience overall,"Akshaya nagar,",Bangalore,99% ,118 Patient Stories,₹400
Dr. Chetak Shetty,Dentist,"BDS, MDS - Orthodontics",24 years experience overall,"Rajajinagar,",Bangalore,99% ,24 Patient Stories,₹300
Dr. Nakul BK,Dentist,BDS,6 years experience overall,"HSR Layout,",Bangalore,98% ,31 Patient Stories,₹600
Dr. Pritee Ray,Dentist,BDS,14 years experience overall,"Sarjapur Road,",Bangalore,100% ,38 Patient Stories,₹300
