dr_name,speciality,qualification,years_of_experience,location,city,dp_score%,npv,consultation_fee_₹,additional_qualification
Dr. T. Ramakrishna,Dentist,BDS,24.0,JP Nagar 5 Phase,Bangalore,95.0,347.0,500.0,MDS
Dr. Karthikeyan B.V,Dentist,BDS,22.0,Yelahanka,Bangalore,92.0,458.0,300.0,MDS
Dr. M. R. Pujari,Dentist,BDS,16.0,Marathahalli,Bangalore,96.0,1423.0,200.0,MDS
Dr. Umesh B M,Dentist,BDS,17.0,JP Nagar 6 Phase,Bangalore,100.0,142.0,300.0,Not Applicable
Dr. Abhinav Diwan,Dentist,BDS,23.0,Horamavu,Bangalore,99.0,143.0,400.0,MDS
Dr. Sudhakara Reddy,Dentist,BDS,18.0,Sahakaranagar,Bangalore,98.0,128.0,500.0,MDS
Dr. (Col) M. C. Sharma,Dentist,BDS,36.0,Frazer Town,Bangalore,96.0,369.0,500.0,MDS
Dr. Baswaraj Biradar,Dentist,BDS,25.0,Sahakaranagar,Bangalore,99.0,409.0,400.0,Not Applicable
Dr. K.A. Mohan,Dentist,BDS,53.0,Domlur,Bangalore,100.0,9.0,500.0,MDS
Dr. Priya Verma,Dentist,BDS,26.0,Whitefield,Bangalore,97.0,234.0,500.0,Not Applicable
Dr. Pamela Bhattacharjee,Dentist,BDS,23.0,Mahadevapura,Bangalore,98.0,128.0,350.0,Not Applicable
Dr. Bharath Shetty,Dentist,BDS,23.0,HSR Layout,Bangalore,96.0,182.0,300.0,MDS
Dr. Adarsha Kannan,Dentist,BDS,27.0,Seegehalli,Bangalore,95.0,55.0,400.0,Not Applicable
Dr. Anupriya. A,Dentist,BDS,25.0,Marathahalli,Bangalore,99.0,146.0,400.0,Not Applicable
Dr. Raghunandana D Karantha,Dentist,BDS,33.0,Vijayanagar,Bangalore,99.0,146.0,500.0,Not Applicable
Dr. Subash,Dentist,MDS,29.0,Sarjapur Road,Bangalore,94.0,24.0,300.0,BDS
Dr. Suresh S,Dentist,BDS,28.0,JP Nagar 7 Phase,Bangalore,97.0,132.0,500.0,MDS
Dr. Joseph Jaganathan,Dentist,BDS,23.0,Indiranagar,Bangalore,98.0,43.0,300.0,Not Applicable
Dr. Sunila Sampath Kumar,Dentist,BDS,27.0,HSR Layout,Bangalore,94.0,119.0,400.0,Not Applicable
Dr. Keerthi R,Dentist,BDS,17.0,Vijayanagar,Bangalore,100.0,42.0,300.0,MDS
Dr. Smitha Shetty,Dentist,BDS,19.0,Vijayanagar,Bangalore,100.0,65.0,300.0,MDS
Dr. Supreeth Manipal,Dentist,BDS,24.0,JP Nagar,Bangalore,98.0,163.0,350.0,MDS
Dr. Bijina Rajan,Dentist,BDS,12.0,Kalyan Nagar,Bangalore,99.0,232.0,300.0,MDS
Dr. Shilpa Shashikiran,Dentist,BDS,24.0,Sadashivanagar,Bangalore,99.0,201.0,500.0,Not Applicable
Dr. Reena John,Dentist,BDS,28.0,Indiranagar,Bangalore,99.0,62.0,500.0,Not Applicable
Dr. Yogesh T Lakkashetty,Dentist,BDS,20.0,Sanjay Nagar,Bangalore,100.0,434.0,300.0,MDS
Dr. Shambhu H Shivanna,Dentist,BDS,23.0,Kundalahalli,Bangalore,98.0,98.0,400.0,MDS
Dr. Manjunath G S,Dentist,BDS,20.0,Kalyan Nagar,Bangalore,99.0,157.0,350.0,MDS
Dr. Abhisheak R Naik,Dentist,BDS,11.0,Harlur,Bangalore,100.0,274.0,200.0,MDS
Dr. Utkarsha Lokesh,Dentist,MDS,24.0,Malleswaram,Bangalore,98.0,296.0,400.0,Others
Dr. Devaraju Devaiah,Dentist,BDS,17.0,Yelahanka,Bangalore,99.0,213.0,350.0,MDS
Dr. Sowmya,Dentist,BDS,18.0,New BEL Road,Bangalore,98.0,49.0,300.0,Not Applicable
Dr. Sandhya Rachuri,Dentist,BDS,18.0,JP Nagar,Bangalore,99.0,169.0,350.0,Not Applicable
Dr. Shivaprasad BM,Dentist,BDS,21.0,Gubbalala,Bangalore,100.0,47.0,300.0,MDS
Dr. Rajesh R N G,Dentist,BDS,24.0,West Of Chord Road,Bangalore,97.0,141.0,350.0,MDS
Dr. Abhilash Ravindranath,Dentist,MDS,19.0,HSR Layout,Bangalore,97.0,803.0,600.0,BDS
Dr. Anju Thomas,Dentist,MDS,11.0,Indiranagar,Bangalore,100.0,143.0,400.0,BDS
Dr. Raghavendra,Dentist,BDS,12.0,Kundalahalli,Bangalore,100.0,676.0,200.0,MDS
Dr. Poorvi Shrivastava,Dentist,MDS,11.0,Marathahalli,Bangalore,98.0,36.0,100.0,BDS
Dr. Bharath,Dentist,BDS,16.0,Singasandra,Bangalore,99.0,207.0,400.0,Not Applicable
Dr. Anupama Kiran,Dentist,BDS,23.0,Whitefield,Bangalore,100.0,20.0,500.0,MDS
Dr. Sunil Rao,Dentist,BDS,26.0,Vijayanagar,Bangalore,97.0,148.0,500.0,MDS
Dr. Shyam Padmanabhan,Dentist,BDS,24.0,New Thippasandra,Bangalore,99.0,217.0,500.0,MDS
Dr. Swetha Raghavendra,Dentist,BDS,20.0,Rajajinagar,Bangalore,95.0,25.0,300.0,Not Applicable
Dr. Deepak Daryani,Dentist,MDS,19.0,HSR Layout,Bangalore,99.0,372.0,500.0,BDS
Dr. Pavan Tambakad,Dentist,BDS,25.0,Koramangala,Bangalore,93.0,57.0,400.0,MDS
Dr. KR Nagaraj,Dentist,MDS,32.0,Jayanagar 7 Block,Bangalore,99.0,78.0,500.0,Not Applicable
Dr. Vinod,Dentist,BDS,18.0,Horamavu,Bangalore,98.0,267.0,400.0,MDS
Dr. Chandnani Priya,Dentist,BDS,14.0,Electronics City,Bangalore,99.0,51.0,350.0,MDS
Dr. Idris Md,Dentist,BDS,13.0,Jayanagar 5 Block,Bangalore,99.0,128.0,300.0,MDS
Dr. Sujatha Pai B,Dentist,BDS,21.0,Jayanagar 4 Block,Bangalore,98.0,41.0,500.0,MDS
Dr. Raju Srinivas,Dentist,BDS,26.0,Jayanagar,Bangalore,97.0,73.0,500.0,MDS
Dr. Rajesh Naik,Dentist,BDS,24.0,Kalyan Nagar,Bangalore,97.0,121.0,700.0,MDS
Dr. Rohit Nair,Dentist,MDS,8.0,Belathur,Bangalore,99.0,443.0,400.0,BDS
Dr. Namratha Umesh,Dentist,BDS,23.0,Sahakaranagar,Bangalore,98.0,130.0,500.0,MDS
Dr. Javad Saleem,Dentist,BDS,15.0,Marathahalli,Bangalore,95.0,37.0,200.0,MDS
Dr. Neha Singh,Dentist,MDS,9.0,Hegde Nagar,Bangalore,100.0,365.0,350.0,BDS
Dr. Sushma B T,Dentist,BDS,12.0,JP Nagar 6 Phase,Bangalore,100.0,9.0,350.0,Not Applicable
Dr. Punyatoya Sahoo,Dentist,BDS,11.0,Marathahalli,Bangalore,88.0,33.0,200.0,MDS
Dr. Kim Upadhyay,Dentist,BDS,15.0,Sarjapur Road,Bangalore,96.0,105.0,400.0,MDS
Dr. Akanksha S.D,Dentist,BDS,13.0,Kundalahalli,Bangalore,97.0,148.0,300.0,MDS
Dr. Shobith R Shetty,Dentist,BDS,16.0,Indiranagar,Bangalore,97.0,163.0,400.0,MDS
Dr. Raghavendra K,Dentist,BDS,25.0,Rajajinagar,Bangalore,94.0,30.0,500.0,MDS
Dr. Shilpa I.G,Dentist,MDS,15.0,Singasandra,Bangalore,99.0,151.0,300.0,BDS
Dr. Prity Bhagat Lohia,Dentist,BDS,12.0,BTM Layout 1st Stage,Bangalore,99.0,91.0,200.0,MDS
Dr. Sarath Chandra,Dentist,BDS,14.0,Marathahalli,Bangalore,95.0,84.0,200.0,MDS
Dr. Raadhikka Karthhik,Dentist,BDS,16.0,Yelahanka,Bangalore,95.0,78.0,300.0,MDS
Dr. Shylesh Shetty,Dentist,BDS,23.0,Indiranagar,Bangalore,99.0,401.0,1000.0,MDS
Dr. Shivanand V,Dentist,BDS,16.0,Hebbal,Bangalore,99.0,263.0,250.0,MDS
Dr. Jnanesha H.C,Dentist,BDS,20.0,Jayanagar 4 Block,Bangalore,97.0,79.0,300.0,MDS
Dr. Sujay Gopal,Dentist,BDS,15.0,Banashankari 3rd Stage,Bangalore,97.0,127.0,200.0,Others
Dr. Sarah Stanislas,Dentist,BDS,9.0,Malleswaram,Bangalore,100.0,22.0,300.0,Not Applicable
Dr. Karthik Venkataraghavan,Dentist,BDS,24.0,Domlur,Bangalore,96.0,150.0,600.0,MDS
Dr. Vikram Shetty K,Dentist,BDS,26.0,Jeevanbhimanagar,Bangalore,100.0,14.0,500.0,MDS
Dr. Anwar Syed,Dentist,BDS,13.0,Panathur,Bangalore,99.0,248.0,300.0,MDS
Dr. Bobby Thomas,Dentist,BDS,26.0,Indiranagar,Bangalore,98.0,89.0,500.0,Not Applicable
Dr. Sangeeta Khar,Dentist,BDS,25.0,Kasturi nagar,Bangalore,96.0,42.0,500.0,MDS
Dr. P Rajesh,Dentist,BDS,18.0,JP Nagar,Bangalore,100.0,26.0,300.0,MDS
Dr. Konthoujam Sulochana,Dentist,BDS,12.0,Murugeshpalya,Bangalore,100.0,98.0,300.0,Not Applicable
Dr. Deepa Bullappa,Dentist,BDS,13.0,Arekere,Bangalore,98.0,94.0,200.0,MDS
Dr. Lakshmi Roopesh,Dentist,BDS,18.0,HRBR Layout,Bangalore,98.0,181.0,500.0,Not Applicable
Dr. Katta R Venkatesh,Dentist,MDS,19.0,Banashankari 3rd Stage,Bangalore,97.0,110.0,300.0,BDS
Dr. Sandeep Hegde,Dentist,BDS,29.0,BTM Layout 2nd Stage,Bangalore,99.0,199.0,400.0,Not Applicable
Dr. Anita Mishra,Dentist,BDS,12.0,Mathikere - BEL,Bangalore,99.0,158.0,300.0,MDS
Dr. Deepak Nath,Dentist,BDS,31.0,JP Nagar,Bangalore,94.0,64.0,300.0,MDS
Dr. Suhanya Prasanna Kumar,Dentist,BDS,18.0,Electronics City,Bangalore,100.0,23.0,300.0,MDS
Dr. Sanjay N,Dentist,BDS,17.0,HBR Layout,Bangalore,97.0,126.0,300.0,MDS
Dr. Latha Subramanya,Dentist,BDS,30.0,JP Nagar 2 Phase,Bangalore,97.0,54.0,300.0,MDS
Dr. Srimani,Dentist,BDS,23.0,Bangalore,Bangalore,96.0,37.0,200.0,Not Applicable
Dr. Sayali Jadhav,Dentist,BDS,8.0,Jayanagar,Bangalore,100.0,351.0,300.0,Not Applicable
Dr. Vijayendra R,Dentist,MDS,47.0,BTM Layout 2nd Stage,Bangalore,100.0,63.0,350.0,BDS
Dr. Lakshmi Mohandas,Dentist,BDS,15.0,Kudlu,Bangalore,88.0,27.0,400.0,MDS
Dr. Akanksha Kapoor,Dentist,BDS,8.0,KR Puram,Bangalore,100.0,264.0,200.0,Not Applicable
Dr. Dinesh,Dentist,BDS,14.0,Basaveshwaranagar,Bangalore,96.0,32.0,300.0,MDS
Dr. Amrith Kiran Shetty,Dentist,BDS,19.0,Banaswadi,Bangalore,96.0,237.0,500.0,Not Applicable
Dr. Shabbir Ulla Khan,Dentist,BDS,10.0,Jayanagar,Bangalore,98.0,27.0,250.0,MD
Dr. Prabhuraj,Dentist,BDS,26.0,Rajarajeshwarinagar,Bangalore,100.0,1.0,300.0,MDS
Dr. Marimallappa T R,Dentist,BDS,18.0,Hebbal Kempapura,Bangalore,96.0,30.0,600.0,MDS
Dr. Krishna Mohan Rao,Dentist,BDS,18.0,Horamavu,Bangalore,96.0,99.0,600.0,Others
Dr. Shaik Mussaveer Ahmed,Dentist,BDS,9.0,Richmond Town,Bangalore,100.0,3.0,400.0,Not Applicable
Dr. Priyanka Mehta,Dentist,MDS,3.0,Electronics City,Bangalore,100.0,29.0,350.0,Not Applicable
Dr. Subhashini,Dentist,BDS,10.0,Electronics City,Bangalore,93.0,8.0,400.0,MDS
Dr. Shamaz Mohamed,Dentist,BDS,19.0,Wilson Garden,Bangalore,99.0,136.0,500.0,MDS
Dr. Minty Sharma,Dentist,BDS,16.0,HSR Layout,Bangalore,98.0,207.0,300.0,Not Applicable
Dr. Dheemanth Ramanath,Dentist,BDS,15.0,Kudlu,Bangalore,93.0,51.0,200.0,MDS
Dr. Suman Reddy,Dentist,BDS,19.0,Bangalore,Bangalore,91.0,216.0,300.0,Others
Dr. Pooja Srinivas,Dentist,BDS,11.0,Hanumanthnagar,Bangalore,98.0,39.0,300.0,Not Applicable
Dr. Neetu Punhani,Dentist,MDS,18.0,Kasturi nagar,Bangalore,88.0,40.0,300.0,BDS
Dr. Suchitra,Dentist,BDS,23.0,West Of Chord Road,Bangalore,97.0,49.0,350.0,Not Applicable
Dr. Roli Singh,Dentist,BDS,12.0,Akshaya nagar,Bangalore,100.0,72.0,350.0,Not Applicable
Dr. Akshara Potluri,Dentist,BDS,10.0,Sarjapur Road,Bangalore,96.0,64.0,300.0,Not Applicable
Dr. Vaibhav Nagaraj,Dentist,BDS,12.0,Sahakaranagar,Bangalore,0.0,0.0,300.0,MDS
Dr. Aparna Narayan,Dentist,BDS,13.0,Whitefield,Bangalore,100.0,45.0,350.0,Not Applicable
Dr. Suhas Prabhakar,Dentist,BDS,13.0,Bannerghatta Road,Bangalore,98.0,18.0,300.0,MDS
Dr. Silju Mathew,Dentist,BDS,32.0,New BEL Road,Bangalore,100.0,1.0,500.0,MDS
Dr. Anirban Chatterjee,Dentist,BDS,29.0,BTM Layout 2nd Stage,Bangalore,80.0,16.0,300.0,MDS
Dr. Saurabh Gupta,Dentist,BDS,13.0,Kanakpura Road,Bangalore,100.0,20.0,500.0,MDS
Dr. Karishma Mohanani,Dentist,BDS,5.0,Munnekollal,Bangalore,100.0,11.0,300.0,MDS
Dr. Shahul Kamal Asif,Dentist,BDS,8.0,Kalyan Nagar,Bangalore,100.0,120.0,300.0,Others
Dr. Gayathri Chinmayee B,Dentist,BDS,10.0,Banaswadi,Bangalore,98.0,43.0,500.0,MDS
Dr. Srinivas Panchajanya,Dentist,BDS,19.0,JP Nagar 1 Phase,Bangalore,99.0,139.0,400.0,MDS
Dr. Ravi Sinha,Dentist,BDS,12.0,Koramangala,Bangalore,100.0,40.0,400.0,MDS
Dr. Mudit Kedia,Dentist,MDS,13.0,BTM Layout,Bangalore,99.0,150.0,500.0,BDS
Dr. Aravind Srinivas,Dentist,BDS,22.0,Jakkur,Bangalore,91.0,28.0,300.0,MDS
Dr. Shambulinga,Dentist,BDS,32.0,HSR Layout,Bangalore,92.0,36.0,300.0,Not Applicable
Dr. Reetu Singh,Dentist,BDS,14.0,Jalahalli,Bangalore,100.0,24.0,300.0,Not Applicable
Dr. Medha Gupta,Dentist,BDS,9.0,Domlur,Bangalore,100.0,74.0,500.0,MDS
Dr. NG Sylvia Kune,Dentist,BDS,6.0,HAL 2nd Stage,Bangalore,96.0,21.0,500.0,Not Applicable
Dr. Vathsala Naik,Dentist,BDS,39.0,Indiranagar,Bangalore,100.0,31.0,500.0,MDS
Dr. Kavitha J,Dentist,BDS,26.0,Bannerghatta Road,Bangalore,97.0,22.0,300.0,Not Applicable
Dr. Lahari,Dentist,MDS,15.0,HSR Layout,Bangalore,100.0,20.0,500.0,BDS
Dr. Bhavana Patil,Dentist,BDS,14.0,Hebbal Kempapura,Bangalore,97.0,54.0,500.0,Not Applicable
Dr. Archana Diwan,Dentist,BDS,22.0,Horamavu,Bangalore,99.0,77.0,400.0,Not Applicable
Dr. Naveen N,Dentist,BDS,21.0,Rajarajeshwarinagar,Bangalore,97.0,39.0,300.0,MDS
Dr. P S Lakshmi,Dentist,BDS,27.0,Bannerghatta Road,Bangalore,92.0,617.0,500.0,Not Applicable
Dr. Kusum Bashetty,Dentist,BDS,19.0,Akshaya nagar,Bangalore,99.0,118.0,400.0,MDS
Dr. Chetak Shetty,Dentist,BDS,24.0,Rajajinagar,Bangalore,99.0,24.0,300.0,MDS
Dr. Nakul BK,Dentist,BDS,6.0,HSR Layout,Bangalore,98.0,31.0,600.0,Not Applicable
Dr. Pritee Ray,Dentist,BDS,14.0,Sarjapur Road,Bangalore,100.0,38.0,300.0,Not Applicable
Dr. Preetha Peethambar,Dentist,BDS,20.0,HSR Layout,Bangalore,100.0,35.0,600.0,MDS
Dr. Santosh B S,Dentist,MDS,19.0,Singasandra,Bangalore,99.0,108.0,200.0,Not Applicable
Dr. Samanvitha Shetty,Dentist,BDS,20.0,Rajajinagar,Bangalore,99.0,76.0,300.0,Not Applicable
Dr. Shreya Francis,Dentist,BDS,7.0,Varthur,Bangalore,97.0,53.0,300.0,Not Applicable
Dr. Krishna Shama Rao,Dentist,BDS,42.0,Harlur,Bangalore,100.0,2.0,1000.0,MDS
Dr. Pavan K,Dentist,BDS,27.0,Chandra Layout,Bangalore,97.0,43.0,300.0,Not Applicable
Dr. Shibani Shetty,Dentist,BDS,19.0,Yelahanka New Town,Bangalore,100.0,186.0,300.0,MDS
Dr. Pavan T.P,Dentist,BDS,13.0,Rajarajeshwarinagar,Bangalore,99.0,175.0,350.0,MDS
Dr. Navya B Kalaikar,Dentist,BDS,17.0,Yelahanka,Bangalore,97.0,69.0,300.0,Not Applicable
Dr. Meenakshi Rai Mukherjee,Dentist,BDS,13.0,HSR Layout,Bangalore,50.0,2.0,500.0,Not Applicable
Dr. Pragya Pathak,Dentist,BDS,8.0,Indiranagar,Bangalore,98.0,124.0,1000.0,Others
Dr. Hetal Popat,Dentist,MDS,11.0,Sarjapur Road,Bangalore,98.0,99.0,500.0,Others
Dr. Asmita,Dentist,BDS,24.0,Bellandur,Bangalore,92.0,20.0,400.0,Not Applicable
Dr. Akanksha Sachdeva,Dentist,BDS,11.0,Indiranagar,Bangalore,100.0,23.0,1000.0,MDS
Dr. Shweta Mutathi,Dentist,BDS,14.0,Kadugodi,Bangalore,97.0,37.0,400.0,Not Applicable
Dr. Sridhar,Dentist,BDS,22.0,Banashankari 3rd Stage,Bangalore,98.0,50.0,200.0,Not Applicable
Dr. Aditi Garg,Dentist,BDS,14.0,HSR Layout,Bangalore,100.0,4.0,500.0,MDS
Dr. Samar Mehtab,Dentist,BDS,10.0,Kalyan Nagar,Bangalore,100.0,158.0,300.0,Others
Dr. Ameet Kini,Dentist,BDS,21.0,Jayanagar 4 Block,Bangalore,100.0,201.0,500.0,MDS
Dr. Roshan Kumar,Dentist,BDS,18.0,JP Nagar,Bangalore,97.0,155.0,400.0,Not Applicable
Dr. Nikesh Reddy C,Dentist,BDS,13.0,Kundalahalli,Bangalore,100.0,2.0,100.0,MDS
Dr. Vijayatha Shetty,Dentist,BDS,11.0,Banaswadi,Bangalore,94.0,13.0,500.0,Not Applicable
Dr. Kiran D N,Dentist,BDS,26.0,Whitefield,Bangalore,99.0,50.0,500.0,MDS
Dr. Santhosha S Kharvi,Dentist,BDS,22.0,Hennur,Bangalore,97.0,14.0,400.0,Others
Dr. Khushboo Mishra,Dentist,MDS,6.0,Vasanthnagar,Bangalore,100.0,25.0,600.0,BDS
Dr. A Rahim Khan,Dentist,BDS,19.0,Indiranagar,Bangalore,98.0,75.0,500.0,MDS
Dr. Nita Kashyap,Dentist,BDS,11.0,CV Raman Nagar,Bangalore,99.0,269.0,400.0,Not Applicable
Dr. Shiva Kumar.P.B,Dentist,BDS,20.0,Sahakaranagar,Bangalore,99.0,77.0,400.0,Not Applicable
Dr. Roshan Varghese,Dentist,BDS,14.0,Horamavu,Bangalore,100.0,54.0,300.0,MDS
Dr. Rupali Wankhede Panpate,Dentist,BDS,17.0,Kasturi nagar,Bangalore,98.0,67.0,400.0,Not Applicable
Dr. Victory Ahanthem,Dentist,BDS,14.0,Panathur,Bangalore,100.0,66.0,300.0,MDS
Dr. Prashanth,Dentist,BDS,24.0,Indiranagar,Bangalore,99.0,90.0,300.0,Not Applicable
Dr. Prajakta Kale,Dentist,BDS,11.0,HSR Layout,Bangalore,100.0,38.0,350.0,MDS
Dr. Shagun Agarwal,Dentist,MDS,6.0,Indiranagar,Bangalore,100.0,3.0,500.0,BDS
Dr. Anjana Viswanath,Dentist,BDS,27.0,Ulsoor,Bangalore,100.0,17.0,600.0,Not Applicable
Dr. Trilochani Prabhakar,Dentist,BDS,43.0,Bannerghatta Road,Bangalore,100.0,1.0,200.0,Not Applicable
Dr. Seema Satish,Dentist,BDS,16.0,Koramangala 1 Block,Bangalore,100.0,17.0,300.0,Others
Dr. Sumalatha,Dentist,BDS,14.0,RT Nagar,Bangalore,99.0,81.0,300.0,Not Applicable
Dr. Beena Gopi,Dentist,BDS,20.0,Richmond Town,Bangalore,100.0,95.0,300.0,Not Applicable
Dr. Mahendra K P,Dentist,BDS,22.0,Banashankari 1st Stage,Bangalore,98.0,7.0,300.0,Not Applicable
Dr. Mohan K B,Dentist,BDS,20.0,RMV 2nd Stage,Bangalore,97.0,21.0,300.0,MDS
Dr. Chandni Gupta Menon,Dentist,BDS,5.0,Marathahalli,Bangalore,100.0,18.0,200.0,MDS
Dr. Nisar Ahmed,Dentist,MDS,9.0,Marathahalli,Bangalore,100.0,29.0,200.0,BDS
Dr. Amith Kukke,Dentist,BDS,20.0,JP Nagar 2 Phase,Bangalore,95.0,142.0,500.0,Not Applicable
Dr. Monica Rao,Dentist,BDS,12.0,Jayanagar,Bangalore,98.0,65.0,200.0,Not Applicable
Dr. Chethan R,Dentist,BDS,13.0,Malleswaram,Bangalore,94.0,231.0,200.0,MDS
Dr. Pooja Shetty,Dentist,BDS,3.0,Whitefield,Bangalore,100.0,30.0,300.0,Not Applicable
Dr. Prabala K V,Dentist,BDS,11.0,Yelahanka New Town,Bangalore,99.0,82.0,350.0,MDS
Dr. Sheetal Shetty,Dentist,BDS,26.0,Ulsoor,Bangalore,98.0,20.0,500.0,Not Applicable
Dr. Deepthi B,Dentist,BDS,12.0,Whitefield,Bangalore,95.0,5.0,500.0,Not Applicable
Dr. Deepika Bartunia,Dentist,MDS,12.0,Whitefield,Bangalore,100.0,20.0,300.0,BDS
Dr. Syed Saqhib Suhail,Dentist,BDS,12.0,Hegde Nagar,Bangalore,97.0,42.0,350.0,Others
Dr. Swati Vishwakarma,Dentist,BDS,12.0,Kothanur,Bangalore,97.0,14.0,300.0,MDS
Dr. Sushant,Dentist,MDS,11.0,Marathahalli,Bangalore,97.0,32.0,300.0,BDS
Dr. Prithvi Raj K,Dentist,MDS,10.0,Sarjapur Road,Bangalore,96.0,65.0,300.0,BDS
Dr. Prabhavathi H.B,Dentist,BDS,20.0,Bannerghatta Road,Bangalore,92.0,3.0,800.0,MDS
Dr. Rohith B,Dentist,BDS,14.0,Marathahalli,Bangalore,100.0,22.0,350.0,MDS
Dr. Anju Jeevan,Dentist,BDS,14.0,Koramangala,Bangalore,100.0,4.0,900.0,MDS
Dr. Priya Manghani,Dentist,BDS,14.0,AECS Layout,Bangalore,92.0,13.0,400.0,MDS
Dr. P V Moxit,Dentist,BDS,16.0,Banashankari 3rd Stage,Bangalore,97.0,102.0,300.0,Not Applicable
Dr. Arunima Chandra,Dentist,BDS,7.0,Whitefield,Bangalore,100.0,112.0,250.0,Others
Dr. Ramya,Dentist,BDS,19.0,Kundalahalli,Bangalore,100.0,23.0,400.0,Not Applicable
Dr. Sapna S,Dentist,BDS,17.0,Kaggadasapura,Bangalore,97.0,34.0,500.0,Not Applicable
Dr. Vartika Kumari,Dentist,BDS,7.0,HSR Layout,Bangalore,0.0,0.0,500.0,MDS
Dr. Marilyn Thomas,Dentist,BDS,14.0,Malleshpalya,Bangalore,100.0,17.0,350.0,MDS
Dr. Arti Misra Sharma,Dentist,BDS,12.0,JP Nagar 5 Phase,Bangalore,98.0,88.0,300.0,Not Applicable
Dr. Sridevi Shetty,Dentist,MDS,15.0,Bangalore,Bangalore,98.0,19.0,300.0,BDS
Dr. Sai Anusha Reddy,Dentist,BDS,9.0,BTM Layout 2nd Stage,Bangalore,99.0,54.0,300.0,Not Applicable
Dr. Swamy M.E.S,Dentist,BDS,22.0,Bangalore,Bangalore,99.0,117.0,500.0,Not Applicable
Dr. Akhil Nair,Dentist,BDS,4.0,HSR Layout,Bangalore,100.0,360.0,0.0,Not Applicable
Dr. C Reddy Raghavendra,Dentist,BDS,10.0,Munnekollal,Bangalore,100.0,62.0,200.0,Not Applicable
Dr. Chaitanya S. H,Dentist,MDS,20.0,Jeevanbhimanagar,Bangalore,98.0,49.0,500.0,BDS
Dr. Premila Naidu,Dentist,BDS,17.0,Bangalore,Bangalore,99.0,394.0,500.0,MDS
Dr. Suthar Tausif,Dentist,BDS,10.0,JP Nagar,Bangalore,99.0,32.0,350.0,Not Applicable
Dr. Amrita,Dentist,BDS,16.0,Kasturi nagar,Bangalore,96.0,145.0,500.0,Not Applicable
Dr. Gayathri Shashank,Dentist,BDS,14.0,Banashankari 1st Stage,Bangalore,92.0,18.0,500.0,Not Applicable
Dr. Mohammed Zuhaib,Dentist,BDS,13.0,Malleswaram,Bangalore,100.0,6.0,500.0,MDS
Dr. Vasuda Rajanna,Dentist,BDS,16.0,JP Nagar,Bangalore,99.0,77.0,350.0,MDS
Dr. Shankar S,Dentist,BDS,9.0,Sanjay Nagar,Bangalore,95.0,18.0,300.0,MDS
Dr. Kiran D V,Dentist,BDS,19.0,Bannerghatta Road,Bangalore,100.0,5.0,200.0,Not Applicable
Dr. Ashwini Narayana Swamy,Dentist,BDS,14.0,Kalyan Nagar,Bangalore,100.0,37.0,400.0,MDS
Dr. Malathi,Dentist,BDS,21.0,Indiranagar,Bangalore,84.0,16.0,500.0,Not Applicable
Dr. Shruthi Mohan,Dentist,BDS,14.0,RMV 2nd Stage,Bangalore,100.0,1.0,250.0,Not Applicable
